id,added,edited,beerdb_id,name
1,2013-07-08 22:59:12.025721+00:00,2013-07-08 22:59:12.062074+00:00,,Not Available
2,2013-07-08 22:59:12.095052+00:00,2013-07-08 22:59:12.124565+00:00,,Classic English-Style Pale Ale
3,2013-07-08 22:59:12.148372+00:00,2013-07-08 22:59:12.192843+00:00,,English-Style India Pale Ale
4,2013-07-08 22:59:12.368114+00:00,2013-07-08 22:59:12.393645+00:00,,Ordinary Bitter
5,2013-07-08 22:59:12.426049+00:00,2013-07-08 22:59:12.429334+00:00,,Special Bitter or Best Bitter
6,2013-07-08 22:59:12.452131+00:00,2013-07-08 22:59:12.462089+00:00,,Extra Special Bitter
7,2013-07-08 22:59:12.494294+00:00,2013-07-08 22:59:12.535879+00:00,,English-Style Summer Ale
8,2013-07-08 22:59:12.559418+00:00,2013-07-08 22:59:12.571358+00:00,,Scottish-Style Light Ale
9,2013-07-08 22:59:12.583869+00:00,2013-07-08 22:59:12.603501+00:00,,Scottish-Style Heavy Ale
10,2013-07-08 22:59:12.614971+00:00,2013-07-08 22:59:12.627216+00:00,,Scottish-Style Export Ale
11,2013-07-08 22:59:12.648318+00:00,2013-07-08 22:59:12.658056+00:00,,English-Style Pale Mild Ale
12,2013-07-08 22:59:12.703855+00:00,2013-07-08 22:59:12.715821+00:00,,English-Style Dark Mild Ale
13,2013-07-08 22:59:12.732829+00:00,2013-07-08 22:59:12.770232+00:00,,English-Style Brown Ale
14,2013-07-08 22:59:12.798190+00:00,2013-07-08 22:59:12.824729+00:00,,Old Ale
15,2013-07-08 22:59:12.849582+00:00,2013-07-08 22:59:12.858121+00:00,,Strong Ale
16,2013-07-08 22:59:12.894912+00:00,2013-07-08 22:59:12.913607+00:00,,Scotch Ale
17,2013-07-08 22:59:12.931285+00:00,2013-07-08 22:59:12.960285+00:00,,British-Style Imperial Stout
18,2013-07-08 22:59:12.982092+00:00,2013-07-08 22:59:12.996127+00:00,,British-Style Barley Wine Ale
19,2013-07-08 22:59:13.021251+00:00,2013-07-08 22:59:13.036308+00:00,,Robust Porter
20,2013-07-08 22:59:13.059353+00:00,2013-07-08 22:59:13.082471+00:00,,Brown Porter
21,2013-07-08 22:59:13.098063+00:00,2013-07-08 22:59:13.107854+00:00,,Sweet Stout
22,2013-07-08 22:59:13.150400+00:00,2013-07-08 22:59:13.163363+00:00,,Oatmeal Stout
23,2013-07-08 22:59:13.175833+00:00,2013-07-08 22:59:13.213924+00:00,,Irish-Style Red Ale
24,2013-07-08 22:59:13.232276+00:00,2013-07-08 22:59:13.237948+00:00,,Classic Irish-Style Dry Stout
25,2013-07-08 22:59:13.253829+00:00,2013-07-08 22:59:13.285613+00:00,,Foreign (Export)-Style Stout
26,2013-07-08 22:59:13.305334+00:00,2013-07-08 22:59:13.329399+00:00,,Irish-Style Porter
27,2013-07-08 22:59:13.350475+00:00,2013-07-08 22:59:13.374506+00:00,,American-Style Pale Ale
28,2013-07-08 22:59:13.394453+00:00,2013-07-08 22:59:13.404358+00:00,,Fresh Hop Ale
29,2013-07-08 22:59:13.414853+00:00,2013-07-08 22:59:13.441121+00:00,,Pale American-Belgo-Style Ale
30,2013-07-08 22:59:13.453574+00:00,2013-07-08 22:59:13.486619+00:00,,Dark American-Belgo-Style Ale
31,2013-07-08 22:59:13.509133+00:00,2013-07-08 22:59:13.531091+00:00,,American-Style Strong Pale Ale
32,2013-07-08 22:59:13.549959+00:00,2013-07-08 22:59:13.574490+00:00,,American-Style India Pale Ale
33,2013-07-08 22:59:13.597353+00:00,2013-07-08 22:59:13.614542+00:00,,Imperial or Double India Pale Ale
34,2013-07-08 22:59:13.664064+00:00,2013-07-08 22:59:13.681707+00:00,,American-Style Amber/Red Ale
35,2013-07-08 22:59:13.722320+00:00,2013-07-08 22:59:13.742120+00:00,,Imperial or Double Red Ale
36,2013-07-08 22:59:13.812688+00:00,2013-07-08 22:59:13.824690+00:00,,American-Style Barley Wine Ale
37,2013-07-08 22:59:13.848422+00:00,2013-07-08 22:59:13.852244+00:00,,American-Style Wheat Wine Ale
38,2013-07-08 22:59:13.883334+00:00,2013-07-08 22:59:13.893106+00:00,,Golden or Blonde Ale
39,2013-07-08 22:59:13.908589+00:00,2013-07-08 22:59:13.926306+00:00,,American-Style Brown Ale
40,2013-07-08 22:59:13.953637+00:00,2013-07-08 22:59:13.992024+00:00,,Smoke Porter
41,2013-07-08 22:59:14.021193+00:00,2013-07-08 22:59:14.029447+00:00,,American-Style Sour Ale
42,2013-07-08 22:59:14.051858+00:00,2013-07-08 22:59:14.074514+00:00,,American-Style India Black Ale
43,2013-07-08 22:59:14.092533+00:00,2013-07-08 22:59:14.104078+00:00,,American-Style Stout
44,2013-07-08 22:59:14.114786+00:00,2013-07-08 22:59:14.141195+00:00,,American-Style Imperial Stout
45,2013-07-08 22:59:14.154014+00:00,2013-07-08 22:59:14.172667+00:00,,Specialty Stouts
46,2013-07-08 22:59:14.186379+00:00,2013-07-08 22:59:14.196047+00:00,,American-Style Imperial Porter
47,2013-07-08 22:59:14.262291+00:00,2013-07-08 22:59:14.285528+00:00,,American-Style Porter
48,2013-07-08 22:59:14.303723+00:00,2013-07-08 22:59:14.346789+00:00,,German-Style Kolsch
49,2013-07-08 22:59:14.363989+00:00,2013-07-08 22:59:14.393387+00:00,,Berliner-Style Weisse
50,2013-07-08 22:59:14.409031+00:00,2013-07-08 22:59:14.418829+00:00,,Leipzig-Style Gose
51,2013-07-08 22:59:14.437058+00:00,2013-07-08 22:59:14.460516+00:00,,South German-Style Hefeweizen
52,2013-07-08 22:59:14.468055+00:00,2013-07-08 22:59:14.471733+00:00,,South German-Style Kristal Weizen
53,2013-07-08 22:59:14.492539+00:00,2013-07-08 22:59:14.519505+00:00,,German-Style Leichtes Weizen
54,2013-07-08 22:59:14.531303+00:00,2013-07-08 22:59:14.568952+00:00,,South German-Style Bernsteinfarbenes Weizen
55,2013-07-08 22:59:14.612697+00:00,2013-07-08 22:59:14.626221+00:00,,South German-Style Dunkel Weizen
56,2013-07-08 22:59:14.652891+00:00,2013-07-08 22:59:14.674343+00:00,,South German-Style Weizenbock
57,2013-07-08 22:59:14.708687+00:00,2013-07-08 22:59:14.729880+00:00,,Bamberg-Style Weiss Rauchbier
58,2013-07-08 22:59:14.759179+00:00,2013-07-08 22:59:14.762741+00:00,,German-Style Brown Ale/Altbier
59,2013-07-08 22:59:14.783691+00:00,2013-07-08 22:59:14.813375+00:00,,Kellerbier - Ale
60,2013-07-08 22:59:14.830594+00:00,2013-07-08 22:59:14.853159+00:00,,Belgian-Style Flanders/Oud Bruin
61,2013-07-08 22:59:14.882452+00:00,2013-07-08 22:59:14.891188+00:00,,Belgian-Style Dubbel
62,2013-07-08 22:59:14.925872+00:00,2013-07-08 22:59:14.937144+00:00,,Belgian-Style Tripel
63,2013-07-08 22:59:14.962081+00:00,2013-07-08 22:59:14.971267+00:00,,Belgian-Style Quadrupel
64,2013-07-08 22:59:14.977878+00:00,2013-07-08 22:59:14.996480+00:00,,Belgian-Style Blonde Ale
65,2013-07-08 22:59:15.042614+00:00,2013-07-08 22:59:15.079021+00:00,,Belgian-Style Pale Ale
66,2013-07-08 22:59:15.088962+00:00,2013-07-08 22:59:15.092076+00:00,,Belgian-Style Pale Strong Ale
67,2013-07-08 22:59:15.148006+00:00,2013-07-08 22:59:15.157760+00:00,,Belgian-Style Dark Strong Ale
68,2013-07-08 22:59:15.197595+00:00,2013-07-08 22:59:15.209610+00:00,,Belgian-Style White
69,2013-07-08 22:59:15.219344+00:00,2013-07-08 22:59:15.222950+00:00,,Belgian-Style Lambic
70,2013-07-08 22:59:15.243294+00:00,2013-07-08 22:59:15.251955+00:00,,Belgian-Style Gueuze Lambic
71,2013-07-08 22:59:15.270418+00:00,2013-07-08 22:59:15.296639+00:00,,Belgian-Style Fruit Lambic
72,2013-07-08 22:59:15.354456+00:00,2013-07-08 22:59:15.362465+00:00,,Belgian-Style Table Beer
73,2013-07-08 22:59:15.375030+00:00,2013-07-08 22:59:15.396644+00:00,,Other Belgian-Style Ales
74,2013-07-08 22:59:15.425747+00:00,2013-07-08 22:59:15.440229+00:00,,French-Style Biere de Garde
75,2013-07-08 22:59:15.464566+00:00,2013-07-08 22:59:15.474373+00:00,,French & Belgian-Style Saison
76,2013-07-08 22:59:15.527922+00:00,2013-07-08 22:59:15.551387+00:00,,International-Style Pale Ale
77,2013-07-08 22:59:15.570182+00:00,2013-07-08 22:59:15.580003+00:00,,Australasian-Style Pale Ale
78,2013-07-08 22:59:15.609378+00:00,2013-07-08 22:59:15.640988+00:00,,German-Style Pilsener
79,2013-07-08 22:59:15.653458+00:00,2013-07-08 22:59:15.671469+00:00,,Bohemian-Style Pilsener
80,2013-07-08 22:59:15.685397+00:00,2013-07-08 22:59:15.695703+00:00,,European Low-Alcohol Lager
81,2013-07-08 22:59:15.725769+00:00,2013-07-08 22:59:15.741888+00:00,,Munchner-Style Helles
82,2013-07-08 22:59:15.794543+00:00,2013-07-08 22:59:15.806830+00:00,,Dortmunder/European-Style Export
83,2013-07-08 22:59:15.841579+00:00,2013-07-08 22:59:15.860343+00:00,,Vienna-Style Lager
84,2013-07-08 22:59:15.885507+00:00,2013-07-08 22:59:15.929107+00:00,,German-Style Marzen
85,2013-07-08 22:59:15.935988+00:00,2013-07-08 22:59:15.949199+00:00,,German-Style Oktoberfest
86,2013-07-08 22:59:15.964899+00:00,2013-07-08 22:59:16.018031+00:00,,European-Style Dark
87,2013-07-08 22:59:16.040426+00:00,2013-07-08 22:59:16.051263+00:00,,German-Style Schwarzbier
88,2013-07-08 22:59:16.075660+00:00,2013-07-08 22:59:16.103558+00:00,,Bamberg-Style Marzen
89,2013-07-08 22:59:16.131137+00:00,2013-07-08 22:59:16.140920+00:00,,Bamberg-Style Helles Rauchbier
90,2013-07-08 22:59:16.153347+00:00,2013-07-08 22:59:16.162356+00:00,,Bamberg-Style Bock Rauchbier
91,2013-07-08 22:59:16.178088+00:00,2013-07-08 22:59:16.193311+00:00,,Traditional German-Style Bock
92,2013-07-08 22:59:16.219979+00:00,2013-07-08 22:59:16.246535+00:00,,German-Style Heller Bock/Maibock
93,2013-07-08 22:59:16.265329+00:00,2013-07-08 22:59:16.273506+00:00,,German-Style Doppelbock
94,2013-07-08 22:59:16.286015+00:00,2013-07-08 22:59:16.290891+00:00,,German-Style Eisbock
95,2013-07-08 22:59:16.320015+00:00,2013-07-08 22:59:16.340192+00:00,,Kellerbier - Lager
96,2013-07-08 22:59:16.381156+00:00,2013-07-08 22:59:16.397485+00:00,,American-Style Lager
97,2013-07-08 22:59:16.414535+00:00,2013-07-08 22:59:16.417348+00:00,,American-Style Light Lager
98,2013-07-08 22:59:16.430349+00:00,2013-07-08 22:59:16.451988+00:00,,American-Style Low-Carb Light Lager
99,2013-07-08 22:59:16.477936+00:00,2013-07-08 22:59:16.481696+00:00,,American-Style Amber Lager (1)
100,2013-07-08 22:59:16.508996+00:00,2013-07-08 22:59:16.517932+00:00,,American-Style Premium Lager
101,2013-07-08 22:59:16.565158+00:00,2013-07-08 22:59:16.572364+00:00,,American-Style Pilsener
102,2013-07-08 22:59:16.597035+00:00,2013-07-08 22:59:16.613218+00:00,,American-Style Ice Lager
103,2013-07-08 22:59:16.651037+00:00,2013-07-08 22:59:16.662293+00:00,,American-Style Malt Liquor
104,2013-07-08 22:59:16.697628+00:00,2013-07-08 22:59:16.701908+00:00,,American-Style Amber Lager (2)
105,2013-07-08 22:59:16.722194+00:00,2013-07-08 22:59:16.726168+00:00,,American-Style Marzen/Oktoberfest
106,2013-07-08 22:59:16.741525+00:00,2013-07-08 22:59:16.758541+00:00,,American-Style Dark Lager
107,2013-07-08 22:59:16.808167+00:00,2013-07-08 22:59:16.817886+00:00,,Baltic-Style Porter
108,2013-07-08 22:59:16.830331+00:00,2013-07-08 22:59:16.840062+00:00,,Australasian-Style Light Lager
109,2013-07-08 22:59:16.852514+00:00,2013-07-08 22:59:16.862281+00:00,,Latin American-Style Light Lager
110,2013-07-08 22:59:16.886752+00:00,2013-07-08 22:59:16.901928+00:00,,Tropical-Style Light Lager
111,2013-07-08 22:59:16.909383+00:00,2013-07-08 22:59:16.940033+00:00,,International-Style Pilsener
112,2013-07-08 22:59:16.970027+00:00,2013-07-08 22:59:16.997846+00:00,,Dry Lager
113,2013-07-08 22:59:17.031938+00:00,2013-07-08 22:59:17.040770+00:00,,Session Beer
114,2013-07-08 22:59:17.053234+00:00,2013-07-08 22:59:17.063003+00:00,,American-Style Cream Ale or Lager
115,2013-07-08 22:59:17.085916+00:00,2013-07-08 22:59:17.104662+00:00,,California Common Beer
116,2013-07-08 22:59:17.126190+00:00,2013-07-08 22:59:17.132726+00:00,,Japanese Sake-Yeast Beer
117,2013-07-08 22:59:17.164392+00:00,2013-07-08 22:59:17.173506+00:00,,Light American Wheat Ale or Lager
118,2013-07-08 22:59:17.217729+00:00,2013-07-08 22:59:17.246398+00:00,,Fruit Wheat Ale or Lager
119,2013-07-08 22:59:17.264400+00:00,2013-07-08 22:59:17.274073+00:00,,Dark American Wheat Ale or Lager
120,2013-07-08 22:59:17.317701+00:00,2013-07-08 22:59:17.359704+00:00,,American Rye Ale or Lager
121,2013-07-08 22:59:17.374260+00:00,2013-07-08 22:59:17.380139+00:00,,German-Style Rye Ale
122,2013-07-08 22:59:17.408037+00:00,2013-07-08 22:59:17.413429+00:00,,Fruit Beer
123,2013-07-08 22:59:17.450474+00:00,2013-07-08 22:59:17.474509+00:00,,Field Beer
124,2013-07-08 22:59:17.503265+00:00,2013-07-08 22:59:17.520503+00:00,,Pumpkin Beer
125,2013-07-08 22:59:17.530912+00:00,2013-07-08 22:59:17.540710+00:00,,Chocolate/Cocoa-Flavored Beer
126,2013-07-08 22:59:17.567111+00:00,2013-07-08 22:59:17.571069+00:00,,Coffee-Flavored Beer
127,2013-07-08 22:59:17.606692+00:00,2013-07-08 22:59:17.618462+00:00,,Herb and Spice Beer
128,2013-07-08 22:59:17.652488+00:00,2013-07-08 22:59:17.671306+00:00,,Specialty Beer
129,2013-07-08 22:59:17.685784+00:00,2013-07-08 22:59:17.735269+00:00,,Specialty Honey Lager or Ale
130,2013-07-08 22:59:17.753179+00:00,2013-07-08 22:59:17.803396+00:00,,Gluten-Free Beer
131,2013-07-08 22:59:17.819881+00:00,2013-07-08 22:59:17.846371+00:00,,Smoke Beer
132,2013-07-08 22:59:17.869817+00:00,2013-07-08 22:59:17.886224+00:00,,Experimental Beer
133,2013-07-08 22:59:17.919158+00:00,2013-07-08 22:59:17.929528+00:00,,Out of Category
134,2013-07-08 22:59:17.950286+00:00,2013-07-08 22:59:17.968927+00:00,,Wood- and Barrel-Aged Beer
135,2013-07-08 22:59:17.975957+00:00,2013-07-08 22:59:18.008241+00:00,,Wood- and Barrel-Aged Pale to Amber Beer
136,2013-07-08 22:59:18.044734+00:00,2013-07-08 22:59:18.049035+00:00,,Wood- and Barrel-Aged Dark Beer
137,2013-07-08 22:59:18.086546+00:00,2013-07-08 22:59:18.096185+00:00,,Wood- and Barrel-Aged Strong Beer
138,2013-07-08 22:59:18.117044+00:00,2013-07-08 22:59:18.124089+00:00,,Wood- and Barrel-Aged Sour Beer
139,2013-07-08 22:59:18.158997+00:00,2013-07-08 22:59:18.173950+00:00,,Aged Beer
140,2013-07-08 22:59:18.186387+00:00,2013-07-08 22:59:18.196094+00:00,,Other Strong Ale or Lager
141,2013-07-08 22:59:18.219133+00:00,2013-07-08 22:59:18.240625+00:00,,Non-Alcoholic Beer
142,2013-07-08 22:59:18.260468+00:00,2013-07-08 22:59:18.273966+00:00,,Winter Warmer
